GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Adaptor Manager,at.jku.swe.simcomp.manager.rest,SimulationInstanceController,62,10,0,0,14,4,5,2,5,2
Adaptor Manager,at.jku.swe.simcomp.manager.rest,ExecutionController,33,10,0,0,7,4,2,2,2,2
Adaptor Manager,at.jku.swe.simcomp.manager.rest,AttributeController,12,10,0,0,2,4,1,2,1,2
Adaptor Manager,at.jku.swe.simcomp.manager.rest,ErrorHandler,39,3,0,0,15,1,3,1,3,1
Adaptor Manager,at.jku.swe.simcomp.manager.rest,SessionController,127,10,0,0,30,4,7,2,7,2
Adaptor Manager,at.jku.swe.simcomp.manager,AdaptorManagerApplication,5,3,0,0,2,1,1,1,1,1
Adaptor Manager,at.jku.swe.simcomp.manager.service.client,AdaptorClient,107,511,16,28,6,84,16,16,0,10
Adaptor Manager,at.jku.swe.simcomp.manager.service.client,ServiceRegistryClient,0,33,0,0,0,8,0,3,0,3
Adaptor Manager,at.jku.swe.simcomp.manager.service.client,AdaptorClient.new ParameterizedTypeReference() {...},0,6,0,0,0,1,0,1,0,1
Adaptor Manager,at.jku.swe.simcomp.manager.service.client,NoExceptionThrowingResponseErrorHandler,1,3,0,0,1,1,1,1,1,1
Adaptor Manager,at.jku.swe.simcomp.manager.config,CorsConfig,0,29,0,0,0,8,0,2,0,2
Adaptor Manager,at.jku.swe.simcomp.manager.config,RestTemplateConfig,0,16,0,0,0,6,0,4,0,4
Adaptor Manager,at.jku.swe.simcomp.manager.config,ExecutionCommandValidation,0,7,0,0,0,2,0,2,0,2
Adaptor Manager,at.jku.swe.simcomp.manager.service.scheduler,JointPositionFetchingScheduler,178,19,10,0,39,7,9,3,4,3
Adaptor Manager,at.jku.swe.simcomp.manager.service,SessionService,135,589,11,25,11,119,13,39,2,32
Adaptor Manager,at.jku.swe.simcomp.manager.service,AttributeService,13,165,1,5,3,34,1,9,0,7
Adaptor Manager,at.jku.swe.simcomp.manager.service,ExecutionService,26,214,3,9,3,50,4,13,1,10
Adaptor Manager,at.jku.swe.simcomp.manager.service,SimulationInstanceService,0,137,0,6,0,32,0,14,0,11
Adaptor Manager,at.jku.swe.simcomp.manager.service,AsyncCommandDistributionService,26,193,5,9,2,50,5,8,0,6
Adaptor Manager,at.jku.swe.simcomp.manager.rest.exception,CommandExecutionFailedException,0,10,0,0,0,4,0,2,0,2
Adaptor Manager,at.jku.swe.simcomp.manager.domain.model,Execution,39,63,0,0,4,12,8,11,8,11
Adaptor Manager,at.jku.swe.simcomp.manager.domain.model,ExecutionResponse.ExecutionResponseBuilder,33,48,0,0,0,1,4,7,4,7
Adaptor Manager,at.jku.swe.simcomp.manager.domain.model,JointPositions,131,3,0,0,16,1,24,1,24,1
Adaptor Manager,at.jku.swe.simcomp.manager.domain.model,Session,40,100,0,0,6,17,9,15,9,15
Adaptor Manager,at.jku.swe.simcomp.manager.domain.model,JointPositions.JointPositionsBuilder,99,0,0,0,1,0,13,0,13,0
Adaptor Manager,at.jku.swe.simcomp.manager.domain.model,Execution.ExecutionBuilder,37,36,1,1,0,1,6,4,5,4
Adaptor Manager,at.jku.swe.simcomp.manager.domain.model,Session.SessionBuilder,47,45,2,2,0,1,8,4,6,4
Adaptor Manager,at.jku.swe.simcomp.manager.domain.model,ExecutionResponse,59,57,0,0,9,9,12,10,12,10
Adaptor Manager,at.jku.swe.simcomp.manager.domain.model,AdaptorSession,45,101,0,0,8,14,9,17,9,17
Adaptor Manager,at.jku.swe.simcomp.manager.domain.model,AdaptorSession.AdaptorSessionBuilder,38,62,1,1,0,1,5,8,4,8
Adaptor Manager,at.jku.swe.simcomp.manager.domain.repository,ExecutionRepository,20,0,0,0,1,0,2,0,2,0
Adaptor Manager,at.jku.swe.simcomp.manager.domain.repository,SessionRepository,20,0,0,0,1,0,2,0,2,0
