GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
service-registry,at.jku.swe.simcomp.serviceregistry.rest,RedirectionController,2,3,0,0,1,1,1,1,1,1
service-registry,at.jku.swe.simcomp.serviceregistry.rest,ControllerAdvice,13,3,0,0,5,1,1,1,1,1
service-registry,at.jku.swe.simcomp.serviceregistry.rest,RegistrationController,30,10,0,0,8,4,3,2,3,2
service-registry,at.jku.swe.simcomp.serviceregistry.domain.model,Adaptor,140,127,33,13,2,8,26,14,3,14
service-registry,at.jku.swe.simcomp.serviceregistry.domain.model,Adaptor.AdaptorBuilder,54,0,0,0,1,0,8,0,8,0
service-registry,at.jku.swe.simcomp.serviceregistry.domain.model,SupportedActionType,155,14,30,0,4,3,24,4,9,4
service-registry,at.jku.swe.simcomp.serviceregistry.domain.model,AdaptorStatus,0,15,0,0,0,3,0,1,0,1
service-registry,at.jku.swe.simcomp.serviceregistry.domain.model,SupportedActionType.SupportedActionTypeBuilder,36,0,0,0,1,0,6,0,6,0
service-registry,at.jku.swe.simcomp.serviceregistry.service,RegistrationService,0,77,0,2,0,18,0,7,0,6
service-registry,at.jku.swe.simcomp.serviceregistry.service,HealthCheckScheduler,30,26,2,0,8,9,2,3,1,3
service-registry,at.jku.swe.simcomp.serviceregistry.service,AdaptorMapper,0,82,0,0,0,23,0,5,0,5
service-registry,at.jku.swe.simcomp.serviceregistry.service,AdaptorClient,0,29,0,0,0,9,0,3,0,3
service-registry,at.jku.swe.simcomp.serviceregistry.rest.exceptions,AdaptorAlreadyRegisteredException,0,4,0,0,0,2,0,1,0,1
service-registry,at.jku.swe.simcomp.serviceregistry,ServiceRegistryApplication,5,7,0,0,2,2,1,2,1,2
